shader,stage,median_us,bench
atan2-const-eval,validate,941.6852678571429,ValidateIR/atan2-const-eval.wgsl
cluster-lights,validate,118.00130208333333,ValidateIR/cluster-lights.wgsl
metaball-isosurface,validate,279.01785714285717,ValidateIR/metaball-isosurface.wgsl
particles,validate,196.4458413926499,ValidateIR/particles.wgsl
shadow-fragment,validate,34.877232142857146,ValidateIR/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,validate,505.71986607142856,ValidateIR/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,validate,67.42931547619047,ValidateIR/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,validate,2269.5530726256984,ValidateIR/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,validate,3847.9477611940297,ValidateIR/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,validate,151.13467261904762,ValidateIR/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,validate,191.1764705882353,ValidateIR/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,validate,7812.5,ValidateIR/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,validate,13327.20588235294,ValidateIR/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_hlsl,11101.973684210527,GenerateHLSL/atan2-const-eval.wgsl
cluster-lights,gen_hlsl,837.0535714285714,GenerateHLSL/cluster-lights.wgsl
metaball-isosurface,gen_hlsl,1953.125,GenerateHLSL/metaball-isosurface.wgsl
particles,gen_hlsl,3381.529850746269,GenerateHLSL/particles.wgsl
shadow-fragment,gen_hlsl,337.14657738095235,GenerateHLSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_hlsl,3148.320895522388,GenerateHLSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_hlsl,726.0687732342008,GenerateHLSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_hlsl,10279.605263157895,GenerateHLSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_hlsl,17045.454545454548,GenerateHLSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_hlsl,871.2825278810409,GenerateHLSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_hlsl,1209.077380952381,GenerateHLSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_hlsl,28846.153846153848,GenerateHLSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_hlsl,55555.555555555555,GenerateHLSL/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_msl,9447.67441860465,GenerateMSL/atan2-const-eval.wgsl
cluster-lights,gen_msl,837.0535714285714,GenerateMSL/cluster-lights.wgsl
metaball-isosurface,gen_msl,1813.6160714285713,GenerateMSL/metaball-isosurface.wgsl
particles,gen_msl,3264.9253731343283,GenerateMSL/particles.wgsl
shadow-fragment,gen_msl,360.3980654761905,GenerateMSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_msl,3264.9253731343283,GenerateMSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_msl,697.5446428571429,GenerateMSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_msl,11101.973684210527,GenerateMSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_msl,17755.681818181816,GenerateMSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_msl,1358.695652173913,GenerateMSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_msl,2087.093862815884,GenerateMSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_msl,46875.0,GenerateMSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_msl,60267.857142857145,GenerateMSL/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_spv,8680.555555555557,GenerateSPIRV/atan2-const-eval.wgsl
cluster-lights,gen_spv,871.9308035714286,GenerateSPIRV/cluster-lights.wgsl
metaball-isosurface,gen_spv,1857.0696721311474,GenerateSPIRV/metaball-isosurface.wgsl
particles,gen_spv,2726.510067114094,GenerateSPIRV/particles.wgsl
shadow-fragment,gen_spv,313.8950892857143,GenerateSPIRV/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_spv,3148.320895522388,GenerateSPIRV/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_spv,755.1115241635688,GenerateSPIRV/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_spv,11111.111111111111,GenerateSPIRV/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_spv,17857.14285714286,GenerateSPIRV/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_spv,871.9308035714286,GenerateSPIRV/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_spv,1209.077380952381,GenerateSPIRV/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_spv,36057.692307692305,GenerateSPIRV/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_spv,58035.71428571428,GenerateSPIRV/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,parse,10279.605263157895,ParseWGSL/atan2-const-eval.wgsl
cluster-lights,parse,645.2287946428571,ParseWGSL/cluster-lights.wgsl
metaball-isosurface,parse,1180.0130208333333,ParseWGSL/metaball-isosurface.wgsl
particles,parse,837.0535714285714,ParseWGSL/particles.wgsl
shadow-fragment,parse,223.21428571428572,ParseWGSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,parse,2109.375,ParseWGSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,parse,401.08816964285717,ParseWGSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,parse,6423.611111111111,ParseWGSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,parse,16203.703703703703,ParseWGSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,parse,726.0687732342008,ParseWGSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,parse,1057.9427083333333,ParseWGSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,parse,19176.136363636364,ParseWGSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,parse,39930.555555555555,ParseWGSL/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_wgsl,8101.851851851851,GenerateWGSL/atan2-const-eval.wgsl
cluster-lights,gen_wgsl,118.00130208333333,GenerateWGSL/cluster-lights.wgsl
metaball-isosurface,gen_wgsl,221.92267227774855,GenerateWGSL/metaball-isosurface.wgsl
particles,gen_wgsl,219.11266924564796,GenerateWGSL/particles.wgsl
shadow-fragment,gen_wgsl,66.84802827380953,GenerateWGSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_wgsl,540.5970982142857,GenerateWGSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_wgsl,90.68080357142857,GenerateWGSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_wgsl,1209.077380952381,GenerateWGSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_wgsl,2448.694029850746,GenerateWGSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_wgsl,111.60714285714286,GenerateWGSL/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,gen_wgsl,198.18944353518822,GenerateWGSL/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,gen_wgsl,3614.7388059701493,GenerateWGSL/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,gen_wgsl,7523.148148148149,GenerateWGSL/unity_webgpu_000002778F740030.fs.wgsl
