shader,stage,median_us,bench
atan2-const-eval,validate,706.1904368932039,ValidateIR/atan2-const-eval.wgsl
cluster-lights,validate,118.57901560693642,ValidateIR/cluster-lights.wgsl
metaball-isosurface,validate,256.0362680667079,ValidateIR/metaball-isosurface.wgsl
particles,validate,197.25621747299212,ValidateIR/particles.wgsl
shadow-fragment,validate,38.51666700686585,ValidateIR/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,validate,495.1601621301776,ValidateIR/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,validate,71.90224261785531,ValidateIR/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,validate,1812.3439260869568,ValidateIR/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,validate,3271.275843537419,ValidateIR/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,validate,163.94748285268892,ValidateIR/unity_webgpu_000002778DE78280.cs.spv
unity_webgpu_000002778de78280.cs,validate,199.55044333807504,ValidateIR/unity_webgpu_000002778DE78280.cs.wgsl
unity_webgpu_000002778f740030.fs.spv,validate,5135.217753086412,ValidateIR/unity_webgpu_000002778F740030.fs.spv
unity_webgpu_000002778f740030.fs,validate,7994.805603773583,ValidateIR/unity_webgpu_000002778F740030.fs.wgsl
atan2-const-eval,gen_msl,5957.335700000004,GenerateMSL/atan2-const-eval.wgsl
cluster-lights,gen_msl,718.2658194444464,GenerateMSL/cluster-lights.wgsl
metaball-isosurface,gen_msl,1559.489092936804,GenerateMSL/metaball-isosurface.wgsl
particles,gen_msl,2837.8788791946376,GenerateMSL/particles.wgsl
shadow-fragment,gen_msl,306.5527607726597,GenerateMSL/shadow-fragment.wgsl
skinned-shadowed-pbr-fragment,gen_msl,2522.8767065868365,GenerateMSL/skinned-shadowed-pbr-fragment.wgsl
skinned-shadowed-pbr-vertex,gen_msl,544.6580968992241,GenerateMSL/skinned-shadowed-pbr-vertex.wgsl
unity_webgpu_0000017e9e2d81a0.vs.spv,gen_msl,7539.601857142848,GenerateMSL/unity_webgpu_0000017E9E2D81A0.vs.spv
unity_webgpu_0000017e9e2d81a0.vs,gen_msl,11770.754216216248,GenerateMSL/unity_webgpu_0000017E9E2D81A0.vs.wgsl
unity_webgpu_000002778de78280.cs.spv,gen_msl,907.0671749460063,GenerateMSL/unity_webgpu_000002778DE78280.cs.spv
