shader	engine	target	ok	bytes_or_error
atan2-const-eval	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
atan2-const-eval	tint	spv	OK	68516
atan2-const-eval	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
atan2-const-eval	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
atan2-const-eval	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
atan2-const-eval	tint	msl	OK	68759
cluster-lights	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
cluster-lights	tint	spv	OK	8460
cluster-lights	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
cluster-lights	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
cluster-lights	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
cluster-lights	tint	msl	OK	6463
metaball-isosurface	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
metaball-isosurface	tint	spv	OK	16804
metaball-isosurface	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
metaball-isosurface	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
metaball-isosurface	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
metaball-isosurface	tint	msl	OK	14157
particles	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
particles	tint	spv	FAIL	Emitting to a file but the module has multiple entry points. Please provide the `--ep <name>` option to specific the ent
particles	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
particles	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
particles	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
particles	tint	msl	FAIL	Emitting to a file but the module has multiple entry points. Please provide the `--ep <name>` option to specific the ent
shadow-fragment	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
shadow-fragment	tint	spv	OK	3216
shadow-fragment	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
shadow-fragment	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
shadow-fragment	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
shadow-fragment	tint	msl	OK	3210
skinned-shadowed-pbr-fragment	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-fragment	tint	spv	OK	27136
skinned-shadowed-pbr-fragment	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-fragment	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
skinned-shadowed-pbr-fragment	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-fragment	tint	msl	OK	20738
skinned-shadowed-pbr-vertex	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-vertex	tint	spv	OK	8508
skinned-shadowed-pbr-vertex	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-vertex	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
skinned-shadowed-pbr-vertex	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
skinned-shadowed-pbr-vertex	tint	msl	OK	6835
uniformity-analysis-pointer-parameters	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
uniformity-analysis-pointer-parameters	tint	spv	OK	52068
uniformity-analysis-pointer-parameters	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
uniformity-analysis-pointer-parameters	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
uniformity-analysis-pointer-parameters	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
uniformity-analysis-pointer-parameters	tint	msl	OK	31125
unity_webgpu_0000017E9E2D81A0.vs.spv	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
unity_webgpu_0000017E9E2D81A0.vs.spv	tint	spv	OK	70816
unity_webgpu_0000017E9E2D81A0.vs.spv	naga	hlsl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
unity_webgpu_0000017E9E2D81A0.vs.spv	tint	hlsl	FAIL	invalid value 'hlsl' for option '--format' Must be one of: none, wgsl, ir, spirv, spvasm, msl Usage: tint [options] <inp
unity_webgpu_0000017E9E2D81A0.vs.spv	naga	msl	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
unity_webgpu_0000017E9E2D81A0.vs.spv	tint	msl	OK	67452
unity_webgpu_0000017E9E2D81A0.vs	naga	spv	FAIL	scripts/verify.sh: line 32: /home/runner/.cargo/bin/naga: No such file or directory 
